,title,price,url,item_id,bid_count,location,condition,start_time,date,sold_amount,date_sold,rating
211,'96 Decade Michael Jordan 1986 Fleer Basketball Rookie Card Replicate PSA 9,89.99,https://www.ebay.com/itm/96-Decade-Michael-Jordan-1986-Fleer-Basketball-Rookie-Card-Replicate-PSA-9-/315287534647,315287534647,,"Windsor,CO,USA",Graded,2024-04-11,2025-01-09,89.99,Active,9
212,Michael Jordan  1986 Fleer Basketball #57 Rookie Card BGS 8,7055.99,https://www.ebay.com/itm/Michael-Jordan-1986-Fleer-Basketball-57-Rookie-Card-BGS-8-/126654956808,126654956808,,"Manchester,NH,USA",Graded,2024-09-02,2025-01-09,7055.99,Active,8
213,1986-87 Fleer - #57 Michael Jordan (RC) PSA 5,5000.0,https://www.ebay.com/itm/1986-87-Fleer-57-Michael-Jordan-RC-PSA-5-/176753146383,176753146383,,"Chandler,AZ,USA",Graded,2024-12-24,2025-01-09,5000.0,Active,5
215,1986-87 FLEER STICKER MICHAEL JORDAN #8 PSA 8,1650.0,https://www.ebay.com/itm/1986-87-FLEER-STICKER-MICHAEL-JORDAN-8-PSA-8-/126225744390,126225744390,,"Portland,OR,USA",Graded,2023-12-07,2025-01-09,1650.0,Active,8
216,1986 Fleer Stickers Michael Jordan Auto #8 PSA 5 Rookie RC,30900.0,https://www.ebay.com/itm/1986-Fleer-Stickers-Michael-Jordan-Auto-8-PSA-5-Rookie-RC-/356372668725,356372668725,,"New Castle,DE,USA",Graded,2024-12-14,2025-01-09,30900.0,Active,5
218,2007-08 Fleer Factory Set 1986/87 Rookie Reprint Floor Michael Jordan PSA 8 HOF,285.0,https://www.ebay.com/itm/2007-08-Fleer-Factory-Set-1986-87-Rookie-Reprint-Floor-Michael-Jordan-PSA-8-HOF-/335748074487?var=545267481719,335748074487,,"Auburn,WA,USA",Graded,2024-12-27,2025-01-09,285.0,Active,8
219,1986 FLEER MICHAEL JORDAN ROOKIE CARD #57 PSA 4 LOOKS WAY BETTER !!!,4999.99,https://www.ebay.com/itm/1986-FLEER-MICHAEL-JORDAN-ROOKIE-CARD-57-PSA-4-LOOKS-WAY-BETTER-/315079281426,315079281426,,"Westminster,MD,USA",Graded,2024-01-06,2025-01-09,4999.99,Active,4
220,1986 Fleer Sticker 8 of 11 Michael Jordan Rookie Card PSA 7 - Chicago Bulls,975.0,https://www.ebay.com/itm/1986-Fleer-Sticker-8-11-Michael-Jordan-Rookie-Card-PSA-7-Chicago-Bulls-/167182877787,167182877787,,"San Diego,CA,USA",Graded,2024-12-17,2025-01-09,975.0,Active,7
221,1986-87 FLEER #57 MICHAEL JORDAN BGS 8.5,7200.0,https://www.ebay.com/itm/1986-87-FLEER-57-MICHAEL-JORDAN-BGS-8-5-/306029610925,306029610925,,"New Castle,DE,USA",Graded,2025-01-09,2025-01-09,7200.0,Active,8
222,1986 Fleer Sticker #8 Michael Jordan PSA 9 Mint (OC),1600.0,https://www.ebay.com/itm/1986-Fleer-Sticker-8-Michael-Jordan-PSA-9-Mint-OC-/176571720304,176571720304,,"McKeesport,PA,USA",Graded,2024-09-12,2025-01-09,1600.0,Active,9
223,1986 FLEER STICKER #8 MICHAEL JORDAN ROOKIE RC PSA 9 ,4400.0,https://www.ebay.com/itm/1986-FLEER-STICKER-8-MICHAEL-JORDAN-ROOKIE-RC-PSA-9-/276795168892,276795168892,,"Antioch,TN,USA",Graded,2024-12-28,2025-01-09,4400.0,Active,9
224,1986 Fleer Sticker #8 Michael Jordan Rookie Card Graded BGS 9.5 Gem Mint,15999.99,https://www.ebay.com/itm/1986-Fleer-Sticker-8-Michael-Jordan-Rookie-Card-Graded-BGS-9-5-Gem-Mint-/305967166346,305967166346,,"Windsor,CO,USA",Graded,2024-12-10,2025-01-09,15999.99,Active,9
225,"1986 Fleer Basketball #57 Michael Jordan RC Rookie HOF PSA 7 "" LOOKS NICER """,7499.0,https://www.ebay.com/itm/1986-Fleer-Basketball-57-Michael-Jordan-RC-Rookie-HOF-PSA-7-LOOKS-NICER-/365278017456,365278017456,,"Belmont,MI,USA",Graded,2024-12-09,2025-01-09,7499.0,Active,7
226,1986 Michael Jordan Fleer Sticker Signed Auto PSA 8 RC UDA.Only 7 Graded Higher!,68500.0,https://www.ebay.com/itm/1986-Michael-Jordan-Fleer-Sticker-Signed-Auto-PSA-8-RC-UDA-Only-7-Graded-Higher-/306018175984,306018175984,,"Las Vegas,NV,USA",Graded,2025-01-04,2025-01-09,68500.0,Active,8
227,MICHAEL JORDAN Rookie Card 1986 Fleer PSA 10 Slab Copy Keychain Rc 2 For $25🔥🔥,13.99,https://www.ebay.com/itm/MICHAEL-JORDAN-Rookie-Card-1986-Fleer-PSA-10-Slab-Copy-Keychain-Rc-2-25-/386440973495,386440973495,,"Bradenton,FL,USA",Graded,2023-12-16,2025-01-09,13.99,Active,10
228,"1986 Fleer Michael Jordan Rookie Card #57 BGS 8 NM (8,8,8.5,9)",7000.0,https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-Rookie-Card-57-BGS-8-NM-8-8-8-5-9-/166237113170,166237113170,,"Greenwood,SC,USA",Graded,2023-07-21,2025-01-09,7000.0,Active,8
229,1986 Fleer #57 Michael Jordan Rookie Card PSA 7,5999.99,https://www.ebay.com/itm/1986-Fleer-57-Michael-Jordan-Rookie-Card-PSA-7-/226179182937,226179182937,,"Somerset,MA,USA",Graded,2024-06-05,2025-01-09,5999.99,Active,7
230,1986 Fleer Basketball 🏀 #57 Michael Jordan RC. BGS 8 Subs 8/9/8.5/8,8750.0,https://www.ebay.com/itm/1986-Fleer-Basketball-57-Michael-Jordan-RC-BGS-8-Subs-8-9-8-5-8-/305996080515,305996080515,,"Macomb,MI,USA",Graded,2024-12-24,2025-01-09,8750.0,Active,8
231,1986 Fleer MICHAEL JORDAN #57 Rookie PSA 5,6999.0,https://www.ebay.com/itm/1986-Fleer-MICHAEL-JORDAN-57-Rookie-PSA-5-/196811068974,196811068974,,Australia,Graded,2024-11-14,2025-01-09,6999.0,Active,5
232,1986 Fleer Basketball Sticker #8 Michael Jordan Rookie Card Graded PSA 9 MINT,3250.0,https://www.ebay.com/itm/1986-Fleer-Basketball-Sticker-8-Michael-Jordan-Rookie-Card-Graded-PSA-9-MINT-/276704543362,276704543362,,"Aurora,IL,USA",Graded,2024-10-27,2025-01-09,3250.0,Active,9
233,1986 Fleer Basketball #57 Michael Jordan RC Rookie Card HOF PSA 4.5 VG-EX+,3999.99,https://www.ebay.com/itm/1986-Fleer-Basketball-57-Michael-Jordan-RC-Rookie-Card-HOF-PSA-4-5-VG-EX-/167108444853,167108444853,,"Cedar Park,TX,USA",Graded,2024-11-19,2025-01-09,3999.99,Active,4
234,1986 FLEER #57 MICHAEL JORDAN RC BULLS HOF BGS 7.5,5799.95,https://www.ebay.com/itm/1986-FLEER-57-MICHAEL-JORDAN-RC-BULLS-HOF-BGS-7-5-/305842910106,305842910106,,"Conneaut,OH,USA",Graded,2024-10-16,2025-01-09,5799.95,Active,7
